draft_year,position,rank,name,school,year_class,height,weight,hometown,birthday,age,jersey,strengths,weaknesses,summary,grade,c_ht,c_wt,c_arm,c_hand,c_wing,c_40,c_20,c_10,c_vj,c_bj,c_ss,c_3c,c_bp,c_notes,pd_ht,pd_wt,pd_arm,pd_hand,pd_wing,pd_40,pd_20,pd_10,pd_vj,pd_bj,pd_ss,pd_3c,pd_bp,pd_notes
2022,OT,28,ALEC ANDERSON,UCLA,rJR,6051,304,"Fontana, Calif. (Etiwanda)",10/3/1999,22.57,70,,,"Alec Anderson, who has three older siblings who played college sports, played both ways at Etiwanda High, setting the school record for pancake blocks. A three-star recruit, he initially committed to Washington State prior to his senior year but flipped to UCLA before signing day (his uncle, Cory Harkey, is a former UCLA and NFL tight end and currently an assistant coach for the Buffalo Bills). After redshirting in 2018, he filled in at left guard in 2019 before starting at right tackle in 17 games the past two seasons. Anderson sports adequate size and length with the initial movements to obstruct pass rush angles before defenders can get going downhill. However, his average strength and balance issues make it tough for him to reset/recover (received a holding flag on each of the five 2021 tapes studied). Overall, Anderson plays with a wide base and tight hands to win quickly, but his inconsistent base, body control and power are roadblocks for his NFL career.",Priority Free Agent,N/A,,,,,,,,,,,,,not invited,6051,304,33 1/4,10 3/8,81 1/4,5.34,3.15,1.94,24,8’6”,5.03,8.14,21,"games the past two seasons. Anderson sports adequate size and length with the initial movements to obstruct pass rush angles before defenders can get going downhill. However, his average strength and balance issues make it tough for him to reset/recover (received a holding flag on each of the five 2021 tapes studied). Overall, Anderson plays with a wide base and tight hands to win quickly, but his inconsistent base, body control and power are roadblocks for his NFL career. GRADE: Priority Free Agent"
2022,OT,29,BAMIDELE OLASENI,Utah,rSR,6071,339,"London, England",1/12/1996,26.29,77,,,"Bamidele (bam-ih-deli) Olaseni (oh-lah-senny) grew up playing basketball and soccer in North London and discovered football in 2014. After learning to play with the London Blitz, he moved to the United States and enrolled at Garden City College for two seasons. A four-star junior college recruit, he committed to Utah over Ohio State, Texas and others. He combined for only 19 offensive snaps in his first two seasons with the Utes and became the starting left tackle as a senior. Olaseni is a massive blocker with broad shoulders and the wingspan of a Boeing 747. He has functional movement skills, but his reactive athleticism and lower body flexibility aren’t currently on an NFL level. His mental skills and timing need just as much development to maximize his natural gifts. Overall, Olaseni is over-aged and underdeveloped, which is why he will likely go undrafted, but his raw size, length and feet are worth bringing to camp to see if he can earn a practice squad spot.",Priority Free Agent,N/A,,,,,,,,,,,,,not invited,6071,339,36 1/4,9 3/4,88 3/8,5.43,3.04,1.80,26,8’0”,5.02,8.25,-,
2022,OG,1,ZION JOHNSON,Boston College,rSR,6025,312,"Bowie, Md. (Riverdale Baptist)",11/18/1999,22.44,77,"Has excellent size with long arms, large hands, and a strong trunk ... well-developed body and has added almost 100 pounds since his high school senior year ... quick-footed and stays controlled in his movements ... shows above average lower body bend and reaction skills ... excellent functional strength and able to plant, anchor, and recover vs. power ... uses his hands to reach, run, and sustain in the run game ... can drive defenders off the ball in tight zone or duo ... picks off defenders on the move or at the second level ... flagged only once in 2021 ... coachable and studious and it shows on game day with his understanding of how to [123] attack defenders (NFL scout: “This guy is razor sharp ... one of the more impressive interviews I did this year.”) ... two-time team captain with a smart, focused personality ... durable and didn’t miss a game the last five years, playing in 58 straight games ... logged double-digit starts at three different offensive line positions (left guard, left tackle, right tackle) and took reps at center during Senior Bowl practices.",Forward leans lead to occasional balance issues ... jarred off his base when he narrows and doesn’t rely on his lower body bend ... needs to keep his feet moving at contact as he resets ... his long arms can create a windmill motion as he coils or fends off rushers ... wide elbows/hands in his pass sets ... looked lost at times at left tackle on the 2020 tape and much more comfortable at guard.,"A three-year starter at Boston College, Johnson lined up at left guard in former offensive coordinator Frank Cignetti’s zone-based (inside/outside) scheme. A golf-focused athlete in high school, he bet on himself going from the FCS level to an FBS program known for producing NFL offensive linemen and he developed into one of the top offensive linemen in the 2022 NFL Draft. Johnson has a stout, developed body type with the patience and placement to plant and re- leverage himself to stay centered as a pass blocker. In the run game, he shows off his body control and drive strength to execute from various angles. Overall, Johnson will occasionally lose his balance, but his combination of play strength, muscle twitch, and reaction skills help him sustain as both a pass and run blocker. He has the talent to carve out a decade-long career as an interior NFL blocker.",1st Round (No. 22 overall),6025,312,34,10 5/8,82 3/8,5.18,2.97,1.74,32,9’4”,4.46,7.38,32,,6027,314,34,10 5/8,82 7/8,-,-,-,-,-,-,-,-,stood on Combine numbers
2022,OG,2,KENYON GREEN,Texas A&M,JR,6037,323,"Humble, Texas (Atascocita)",3/15/2001,21.12,55,"Wide, balanced mover with plus body control ... owns heavy, physical hands to stun his target and control the chest of defenders ... able to engage and lock out with NFL-quality functional strength ... picks up pressures from depth and sinks at contact to stop rushers cold ... explosive out of his stance with the mobility to effectively pull, trap, reach and execute combinations ... allowed only one sack over the last two seasons ... competes with the right mentality — he’s mean and doesn’t apologize for it ... both of his parents were collegiate athletes ... aside from skipping the 2021 bowl game, he played in every game the last three seasons and spread his 35 starts across four positions (left guard, right guard, left tackle, right tackle).","His hands tend to play ahead of his feet, resulting in excessive leaning ... shows several bad habits in the run game like ducking his head and letting his hands get wide, leaving him off-balanced and sometimes on the ground ... tends to open his inside hip when countering, which gives rushers an open lane ... needs to settle his feet while resetting his vision/hands vs. rangy pass rushers ... was a flag magnet throughout his career, including seven penalties in 2021 (six holding calls, one false start).","A three-year starter at Texas A&M, Green played the majority of his snaps at left guard in head coach Jimbo Fisher’s balanced offensive attack. After starting at right guard as a freshman and left guard as a sophomore, he was the only returning starter on the offensive line as a junior and was asked to fill in across the line, becoming the only NCAA player with 80-plus snaps at four different offensive line positions in 2021. A wide-based blocker, Green flashes explosive traits and physical hands to create movement in the run game or anchor in pass protection. Although he can catch himself thanks to his center of gravity, he will make things more difficult for himself with lunging tendencies. Overall, Green must fix the bad habits and penalties at the next level, but he does a great job staying balanced before and after contact with the mobility and brawling mentality to win his matchups. He should establish himself as a dependable starting guard early in his NFL career.",1st-2nd Round (No. 27 overall),6037,323,34 1/8,10 3/8,83 3/8,5.24,3.01,1.76,26,8’6”,5.12,-,20,broad took six tries; no 3-cone – choice,6040,325,34,10 1/4,83 3/4,5.25,2.96,1.80,28 1/2,-,5.03,-,-,no 3-cone – choice
2022,OG,3,DARIAN KINNARD,Kentucky,SR,6053,322,"Knoxville, Tenn. (St. Ignatius)",12/29/1999,22.33,70,"Comfortably carries his weight on his long, flexible frame ... does a great job settling his feet to maintain his wide base ... impressive raw power and isn’t shy showing it off ... generates force through his hips and upper half to torque defenders from his path ... displays the grip strength to snatch, lock out and control with his hands ... able to flip his hips to seal run lanes ... anchors down and won’t allow rushers to go through him ... comfortable jabbing with both hands in pass protection ... flashes a nasty temperament to pancake/bury ... durable and started 39 straight games over the last four seasons (2,513 career snaps on offense) ... also has functional experience at left tackle.",Top-heavy and finds his momentum too far out in front as both a run blocker and in pass protection ... lacks discipline in his kickslide and shuffle footwork ... only average range and can be stressed laterally ... inconsistent punch timing ... his wide hands often land outside the defender’s chest ... spends too much time hugging and feeling out his target ... too much body-to-body blocking on his tape for a player with his length ... can do a better job centering on zone blocks ... three false start penalties in 2021 — three more than expected for a senior with his experience ... will let go of blocks early at times and needs to finish through the whistle ... his weight surpassed 370 pounds as an underclassmen and needs to keep his weight in check ... doesn’t have college playing experience at center or guard ... suffered a “small fray” in his meniscus during draft training that may require a scope down the road.,"A three-year starter at Kentucky, Kinnard lined up at right tackle in former offensive coordinator Liam Coen’s zone-based scheme. After starting a pair of games at left tackle as a freshman, he started all 37 games at right tackle the last three seasons for the Wildcats, becoming the 12th Consensus All-American in school history as a senior. Kinnard looks to impose his will early and manhandle everything in his path to create movement at the point of attack. He has the quickness to square half-man rushers, but he relies more on his upper body than lower body to get the job done, which leads to balance issues. Overall, Kinnard’s NFL ceiling will hinge on his ability to refine his sloppy tendencies, but he has the physical tools and bully mentality to be a dominant, scheme-diverse run blocker. Teams are split between guard and right tackle as his best NFL position.",2nd Round (No. 52 overall),6053,322,35,11 1/4,83 1/4,5.31,3.03,1.78,25,8’3”,4.96,8.11,-,no bench press – choice,6052,328,35 1/4,11 1/4,83 1/2,-,-,-,-,-,-,-,20,stood on Combine numbers
2022,OG,4,JAMAREE SALYER,Georgia,SR,6030,321,"Atlanta, Ga. (Pace Academy)",7/13/2000,21.79,69,"Wide-bodied and carries his weight well ... natural foot quickness and stays controlled in his slide movements ... has the lateral agility and mobility to pull outside ... tough guy to move and stout at contact, even when long rushers get into his frame ... able to tilt his hips and seal inside/outside run lanes with crafty angles ... physical, active hands in his pass sets and the run game ... long levers help him quickly reset ... named a 2021 team captain and has above average intangibles and leadership skills ... versatile starting experience across his 23 starts with time at both tackle spots — also took snaps at center as an underclassman and during Senior Bowl practices. [125]","Shorter and has a guard body ... takes narrow steps, which hinders his base and overall range in space, especially at tackle ... plays with wide hands and pass rushers too easily reach his chest ... resets well, but his initial sustain doesn’t last as long as you want ... bad habit of lunging with his eyes down ... penalized five times as a senior, including two false starts ... weight fluctuated between 310 and 345 during his time at Georgia ... missed four games as a senior because of a left foot injury (October 2021).","A two-year starter at Georgia, Salyer played predominantly at left tackle in offensive coordinator Todd Monken’s scheme, while also logging snaps at each of the five offensive line positions over his career. Despite being the No. 1 ranked guard out of high school, he was the anchor of the Bulldogs’ 2021 National Title winning team at left tackle and gave up only one sack in his career at tackle (to Alabama’s Will Anderson). Salyer is very efficient in his setup and plays with outstanding body control, balance and core strength to stay centered through contact. Although he tends to get narrow with his steps and has some bad habits, he understands depth, angles and how to effectively respond with his hands. Overall, Salyer had 22 of his 23 career starts in college at offensive tackle, but his stout frame, quick reactions and overall skill set are ideally suited on the interior. He projects as a plug-and-play NFL guard, while offering position versatility in a pinch.",2nd Round (No. 54 overall),6030,321,33 5/8,10,80 1/4,-,-,-,-,-,-,-,31,bench press only – choice,6030,318,33 7/8,9 7/8,80 3/8,-,-,-,24,8’2”,4.70,-,-,no runs or 3-cone – choice
2022,OG,5,LUKE GOEDEKE,Central Michigan,rSR,6050,312,"Whitelaw, Wis. (Valders)",11/21/1998,23.44,67,"Displays excellent play strength, especially in the run game ... stubborn hands to latch and control the chest of blockers ... generates power from his lower body and hips to drive or redirect ... his elbows are usually rubbing his ribs, allowing him to keep his hands inside ... blocks with efficient punch timing to respond to different rushers ... has the lower body athleticism to keep up with his upper half, staying balanced through contact ... does an adequate job stalking at the second level and staying attached ... never concedes, often finishing defenders to the ground ... works well in tandem on doubles ... self-made player who added almost 100 pounds since high school and put himself on the NFL’s doorstep thanks to hard work and determination ... his personality and football passion are both genuine traits.","Lacks ideal length, which will be tough to mask outside at tackle ... struggles vs. long levered rushers who can get into his body or attack his outside shoulder ... needs to grow roots quicker to establish his anchor vs. bull rushers ... still developing his muscle memory and technique on the offensive line ... grabby mitts (three holding penalties on tapes studied) ... his over-sets can create inside rush opportunities ... his reaction time and vision vs. stunts is a work in progress ... missed the 2020 season after suffering a knee injury on the final play of fall camp (August 2020); Sidelined for the Senior Bowl and Combine because of a left hamstring injury ... was a right tackle only in college and faces a learning curve moving inside to guard or center in the NFL.","A two-year starter at Central Michigan, Goedeke held down the right tackle position in head coach Jim McElwain’s zone-blocking scheme. With very few options out of high school, he bet on himself by playing tight end at the Division III level before transferring up to the MAC and transitioning to the offensive line. Goedeke is a finisher in the run game and does a great job staying connected to blocks with his strong hands and balance through contact. In pass protection, he needs to work on his anchor and reset, but he has an active punch and usually keeps his upper and lower halves on the same page. Overall, Goedeke has only two years of playing experience on the offensive line and it shows at times, but he has outstanding play strength with enough lower body fluidity to stay centered in his blocks. He fits best inside where he has NFL starting potential at guard.",3rd Round (No. 76 overall),6050,312,32 1/4,9 3/4,79 7/8,-,-,-,-,-,-,-,26,bench press only – left hamstring,6047,313,32 1/4,9 5/8,80 3/8,-,-,-,-,-,-,-,27,bench press only – left hamstring
2022,OG,6,MARQUIS HAYES,Oklahoma,rSR,6047,318,"St. Louis, Mo. (Pattonville)",2/14/1999,23.21,54,"Wide-framed blocker with natural thickness and outstanding arm length ... anchors down to absorb contact ... uses his powerful reach to control the man in front of him ... physical hands in everything he does ... efficient on short and long pulls with excellent body control and lateral quickness ... moves with enough fluidity to swing his hips and create blocking angles ... plays alert with the vision to locate moving targets as a puller and stunts/twists in pass protection ... plays pissed off and doesn’t have a passive bone in his body, often finishing his man to the ground ... the OU coaches say he worked hard to trim excess weight and stay in shape ... played a ton of snaps the last three seasons with 37 career starts (36 consecutive).","His foot quickness is best described as average ... more likely to pop upright than sink with excessively tall pad level ... lacks twitch in his reaction steps to easily recover vs. counters ... forgets his feet at times and relies on his upper half, leaving him hunched at the waist ... his grip strength can be a negative when he doesn’t maintain body positioning – penalized nine times in 2021, including six holding calls ... started a lot of games in Norman, but only played left guard with questionable position versatility.","A three-year starter at Oklahoma, Hayes was a mainstay at left guard in former head coach Lincoln Riley’s balanced scheme. With only two years of varsity experience in high school, he showed steady improvement each season in Norman and produced his best tape in 2021 as arguably the best offensive lineman in the Big 12. While some blockers rely on power and others rely on angles, Hayes relies on both and I was impressed by his ability to make split-second adjustments. He will rely too much on his length at times, but plays violent and stout and does a great job with the balancing act of staying composed while also unleashing hell on defenders when the opportunity is there. Overall, Hayes needs continued development with his technique and pad level, but he has the mauling strength, smooth movements and blocking instincts to be equally efficient as a run blocker and pass protector. He should compete for an NFL starting role as a rookie.",3rd Round (No. 90 overall),6047,318,34 7/8,8 7/8,83 1/2,5.30,3.06,1.82,23 1/2,8’6”,-,-,-,no bench press – left shoulder,6052,320,35 3/8,8 7/8,83 1/2,-,-,-,24 1/2,8’6”,4.78,7.94,-,stood on Combine runs; no bench
2022,OG,7,SEAN RHYAN,UCLA,JR,6045,321,"Ladera Ranch, Calif. (San Juan Hills)",9/20/1998,23.61,74,"Compact build with thick thighs and massive hands ... excellent short-area coordination as a run blocker and pass blocker ... patient in his pass sets with strong, tight hands to latch and work his feet into position when on-schedule ... works hard to achieve leverage ... excellent job in his vertical climb to attack the linebacker level ... finds the hip of the defender and caves in the line ... flashes a clamp grip at contact to move bodies ... .showed mental growth each season at UCLA, not allowing mistakes to linger ... credits rugby for developing his toughness and body development ... durable and started all 31 games the last three seasons, allowing only two sacks in his career.","Lacks ideal width and arm length ... below average range and recovery skills ... not a fluid mover in space and slow to redirect vs. twitchy pass rushers ... gets his momentum wide and allows rushers to cross his face ... tardy hands and must improve his counter timing ... heavy leaner and will get his head over his skis in pass protection, struggling to recover ... has the mobility to be a factor at the second level, but will struggle to break down on the move ... would benefit from more competitive finish on a snap-to-snap basis ... flagged six times in 2021 (four false starts, two holding penalties) ... was a left tackle only in college with questionable position flex.","A three-year starter at UCLA, Rhyan anchored the left tackle position in head coach Chip Kelly’s zone read scheme. A rugby player growing up, he started playing football in high school and continued to blossom for the Bruins, showing steady improvement each season and growing into one of the best left tackles on the West Coast. Rhyan is a powerful blocker who understands blocking leverage and how to anchor. However, he looked like a guard playing tackle on tape because of his lack of range, fluidity and recovery skills in space. Overall, Rhyan is strong and balanced in both the run game and passing game, but he must play with quicker hands/feet and more efficient weight distribution for him to make it. He does his best work in short areas, projecting as a guard with NFL starting potential in either a power or zone scheme.",3rd Round (No. 90 overall),6045,321,32 3/8,11 1/8,79 1/4,5.25,2.98,1.77,33 1/2,9’2”,4.81,7.55,-,no bench press – choice,6046,323,32 5/8,11 5/8,80 1/8,-,-,1.80,34 1/2,9’2”,4.60,-,21,didn’t run full 40-yard dash – choice
2022,OG,8,JOSHUA EZEUDU,North Carolina,rJR,6042,308,"Lawrenceville, Ga. (Archer)",9/19/1999,22.61,75,"Looks and moves the part with his frame and athleticism ... above average flexibility and agility for his size ... able to reach and lock out defenders on zone blocks, swinging his hips to shield the run lane ... strong hands to create stalemates, which is a win for the offense ... seemingly always in a ready position with his hands and feet tied together pre-contact ... works his hands inside defenders to get them leaning ... efficient on pulls and immediately lines up his target ... very alert to stunting threats ... competes with tenacity and will consistently finish his blocks ... voted a team captain as a redshirt junior ... started multiple games at three different positions in college.","Doesn’t overpower defenders at contact, often overextending himself to gain extra momentum ... needs to rely more on his anchor as a recovery tool when forced to catch rushers ... adequate punch and coil and doesn’t always use his long arms to their fullest potential ... average sustain skills and needs to reposition himself once engaged ... penalized seven times in 2021, including three holding calls ... still relatively new to guard and developing the tricks of the trade ... offers offensive tackle experience, but doesn’t have ideal lateral range for outside work.","A three-year starter at North Carolina, Ezeudu played primarily at left guard in offensive coordinator Phil Longo’s RPO-based spread scheme. A high school offensive tackle, he had never played guard before college, but cross-trained at both left and right guard in Chapel Hill while also filling in at left and right tackle when needed. With his initial quickness, Ezeudu is able to hit his landmarks and pass-set angles to out-leverage defenders. He has eager hands and a clear desire to finish, but he needs to be more disciplined, especially post-contact. Overall, Ezeudu is still developing the tricks of the trade to be a more consistent sustain blocker, but he gives defenders a battle with his athleticism and hand strength to wear down his opponent. He has starting upside as an NFL guard who can fill also fill in at tackle in emergencies.",3rd-4th Round,6042,308,34,9 1/2,82 1/4,5.19,2.99,1.78,28 1/2,8’9”,4.56,7.83,-,no bench press – choice,6042,313,34 1/8,9 3/8,82 3/8,-,-,-,-,-,-,-,20,stood on Combine numbers
2022,OG,9,ED INGRAM,LSU,rSR,6032,307,"DeSoto, Texas (DeSoto)",2/11/1999,23.21,70,"NFL-ready frame, mass and length ... heavy, heavy hands with the upper body explosion to knock rushers off balance ... owns the core power to hold his ground vs. bull rushers or supplant defenders in the run game ... works to keep his shoulders square to his target with his eyes and feet tied together ... stays balanced as a puller and redirects well to wash away rush counters ... violent block-finisher and is always looking for work ... enough mobility to pull or beat up linebackers at the second level ... his ID skills have gotten better and better ... did not have an accepted penalty over the last two seasons ... grew into a leadership role as a senior, especially with a late switch at offensive line coach for the 2021 season ... offers starting experience at both guard spots.","Excessive leaning opens the door for savvy defenders to eliminate his hands and open his shoulder ... his strike timing and placement needs continued maturation ... inconsistent latch mechanics on gap plays ... tends to sacrifice his balance when going for the kill shot ... his pre-snap recognition is improved, but still a work in progress ... he was arrested (August 2018) and charged with two counts of aggravated sexual assault, involving a minor; the charges were dismissed over a year later and he was reinstated to the football team.","A four-year starter at LSU, Ingram lined up at left guard in former offensive coordinator Jake Peetz’s spread scheme (zone and gap). After missing the 2018 season due to suspension, he returned to the team during LSU’s National Title-winning season in 2019 and was one of the few bright spots on an otherwise erratic offense the past two seasons. Ingram displays patient movements and steady pad level in his pass sets and keeps his eyes and feet on the same page to react with rushers. He has the stun strength to turn 330-pound defenders into folding chairs, but his aggressive blocking demeanor will leave him off-kilter at times. Overall, Ingram needs to clean up his leaning and hand mechanics, but he has the explosive upper body, strong base and competitive temperament to match up with defensive interior linemen at the next level. He is scheme-versatile and looks like a future NFL starter.",3rd-4th Round,6032,307,33 5/8,10,81 7/8,5.02,2.88,1.68,20 1/2,8’6”,4.76,7.81,-,no bench press – choice,6035,312,33 7/8,10,83 3/8,-,-,-,-,-,-,-,-,no bench press – choice
2022,OG,10,LECITUS SMITH,Virginia Tech,rSR,6032,314,"Fitzgerald, Ga. (Fitzgerald)",7/13/1998,23.79,54,"Owns a functional body type with well-distributed thickness ... quick out of his stance with coordinated feet to stay square to rushers ... moves with excellent bend in his knees to sit in his stance and create a base as a pass protector ... has the body control of a former tight end, working outside as a zone blocker or pulling in space ... active hands in his pass sets to deliver a sharp punch ... aggressive in the run game and gets after his man ... creates movement when he connects with his stone hands ... weighed just 260 pounds as a high school senior and added 60 pounds since arriving in Blacksburg ... started four seasons at left guard, but also served as the Hokies’ backup at left tackle (his offensive line coach believes he can play any tackle or guard spot).","Shorter arms and doesn’t have ideal measurables ... will punch wide at times and must improve his placement for better point-of-attack control ... his recovery and redirect are inconsistent vs. cross-face or shifty rushers ... his awareness runs hot-cold, leaving him off scheduled at times vs. stunts ... had more penalties as a senior (five) than his previous three seasons combined (three) ... missed one game and played through others with a sprained ankle (November 2021); also missed part of Senior Bowl week with a tweaked ankle (February 2022).","A four-year starter at Virginia Tech, Smith was entrenched as the Hokies’ left guard in former offensive coordinator Brad Cornelsen’s zone-based offense. He was initially recruited as an “on-the-line” tight end for Justin Fuentes’ offense, but outgrew that position and made the transition to the offensive line during his redshirt year. Smith is quick off the ball and rolls his hips into contact to generate power in the run game. In pass protection, he sits in his stance and peppers with his punch, although he will be late to react and recover when not on time. Overall, Smith’s lack of length impedes his sustain skills, but he has the lower body flexibility and fierce hands to frustrate defensive linemen. He might not be a fit for every scheme, but has starting guard potential in a power zone scheme.",4th Round,6032,314,31 7/8,9 5/8,78 3/4,5.18,2.99,1.79,-,8’3”,4.78,7.88,23,no vertical – choice,6033,313,31 1/2,9 1/2,79 1/2,-,-,-,25 1/2,8’2”,-,-,25,]
2022,OG,11,JUSTIN SHAFFER,Georgia,rSR,6037,314,"Ellenwood, Ga. (Cedar Grove)",6/20/1998,23.86,54,"Wide-hipped and comfortably carries his mass ... physical into engagement with the functional power to overwhelm defenders ... aggressive hands in the run game to drive his man from his spot ... stays patient in his pass blocking stance and avoids over-setting ... adequate length, punch and slide quickness to match rushers and establish himself in the gap ... has a sense for blitzing concepts and can react in a timely fashion ... hyper-competitive on-field personality and only knows one way to play ... played almost exclusively at LG (90% of his career snaps), but does have some experience at RG.","Doesn’t play explosive and lacks ideal lateral quickness ... not rangy enough to execute outside pulls ... relies more on power than composed pad level and leverage ... inconsistent initial movements and often late out of his stance or too early (four false starts in 2021) ... his hands are wild, wide and lack precision ... clearly more comfortable in a confined space and struggles at the second level ... medicals will be imperative to his final draft grade with NFL teams: suffered a sprained neck (October 2019) and missed the second half of the 2019 season (wore a neck brace for three months) ... will be a 24-year old NFL rookie.","A three-year starter at Georgia, Shaffer lined up at left guard in offensive coordinator Todd Monken’s scheme. He took a jump on his senior tape and was an instrumental part of Georgia’s National Title team in 2021, going from borderline draft pick to solid draft pick. A big-bodied blocker, Shaffer is a physical drive blocker with above average thickness, play strength and competitiveness to eat up defenders. However, his below average athleticism puts him in vulnerable position in pass protection, struggling vs. rushers in the SEC Championship Game and both playoff games. Overall, Shaffer will be limited because of his lack of quickness and hand placement/control, but he has the inline power to displace defenders and anchor in a phone booth. He needs a power-scheme (and a clean bill of health) to see steady playing time in the NFL.",4th-5th Round,6037,314,33 1/4,10,80 5/8,5.14,2.92,1.72,25 1/2,8’11”,-,-,-,no shuttles or bench press – choice,6040,319,32 3/8,10 1/4,81,-,-,-,-,-,4.85,8.09,23,stood on Combine runs and jumps
2022,OG,12,LOGAN BRUSS,Wisconsin,rSR,6050,309,"Kimberly, Wis. (Kimberly)",10/7/1999,22.56,60,"Wide-based blocker with sturdy anchor strength ... violent player with large, strong hands, which helps him win early ... strikes with repeatable placement ... his grip strength boosts his block strain without attracting holding calls (zero holding penalties in his college career) ... smooth as a pass blocker with the body control to maintain his position post-contact ... comfortable on the move to hit his second level and outside marks ... his head stays on a swivel to slide with twists and stunts ... his competitive demeanor is consistent from snap-to-snap ... offers starting experience at both tackle and guard.","Mediocre athleticism, length and upper body strength ... struggles to recover when he doesn’t win early ... guilty of over-setting and allowing his pads to rise, especially in space ... shifty rushers stress his pass blocking technique ... not a consistent people-mover in the run game, struggling to steer defenders where he wants ... his consistency as a finisher needs to be better ... battled numerous minor injuries over his career and was hampered by issues as a senior, including a left leg injury during camp (August 2021), shoulder stinger (October 2021), and a foot injury that bothered him over the final month of the season (November 2021).","A four-year starter at Wisconsin, Bruss lined up at right tackle as a senior in head coach Paul Chryst’s offense. He bounced between right tackle and right guard over his career and showed steady improvement each season, taking himself from free agent status to future draft pick. Bruss, who didn’t allow a sack the last two seasons, stays controlled and centered in his movements. He plays with a workman-like attitude with his hands, but his upper body strength is average and he doesn’t have the athletic traits to easily recover when he misfires. Overall, Bruss lacks explosiveness and will likely move inside to protect his edge vs. NFL speed, but he has the body control and striking skills to execute his blocks. He projects as a backup guard in the NFL who can kick out and play tackle in an emergency.",4th-5th Round,6050,309,33 1/8,10 3/4,79 3/4,5.32,3.01,1.76,31,9’4”,4.55,7.57,-,no bench press – choice,6050,308,33 1/8,11,76 3/4,-,-,-,-,-,-,-,-,stood on Combine numbers
2022,OG,13,THAYER MUNFORD,Ohio State,rSR,6056,328,"Cincinnati, Ohio (Washington)",9/18/1999,22.61,75,"Wide-framed blocker with long arms and proportionate body thickness ... nice job swinging his hips to stay square to rushers ... throws his hands to tie up defenders and keep his blocks centered ... creates thud at contact when he lands his punch ... adequate core strength and plays stout ... flashes power in his hands to latch and drive defenders in the run game ... after 10 penalties in his first two years as a starter, he committed only two penalties over his final two seasons ... [131] senior captain and was awarded the Block “O” jersey in 2021 ... understands his pain tolerance and routinely played through injuries in college (Munford: “I can’t let my teammates down.”) ... finished his career with 54 games played and double digit starts at both left tackle and left guard.","Inconsistent feet in his pass sets, struggling to mirror laterally ... blocks with stiffness in his legs and struggles to redirect vs. inside moves ... his footwork isn’t fast enough, allowing his base to narrow and leaving him hunched at the waist ... tends to play high and expose his chest ... he makes it too easy for defenders to get underneath him ... needs to recognize things quicker to give himself a head start ... inconsistent strike placement and consistency in all areas of his game ... battled numerous injuries over his career: suffered a back injury in 2018 that required offseason surgery (January 2019); missed one game as a senior because of a right ankle injury (September 2021).","A four-year starter at Ohio State, Munford lined up at left guard in head coach Ryan Day’s zone-based offense. He anchored the left tackle position for three seasons before moving inside to guard as a senior captain, playing over 3,100 offensive snaps in his career and earning All-Big Ten honors four straight years. A wide-bodied player, Munford keeps his feet beneath him and works hard to stay between the ball and defenders. However, he is a heavy-legged waist-bender with inconsistent hand placement in the run game and as a pass blocker. Overall, Munford wins with size and length and has played a lot of football, but he struggles to stay balanced and his inconsistencies create opportunities for pass rushers. His experience at tackle and guard boost his chances of making the NFL as a backup.",4th-5th Round,6056,328,35 1/8,10 1/8,84 5/8,5.39,3.07,1.80,22,8’8”,-,-,-,no shuttles or bench press – choice,6056,329,35 1/2,10 1/8,84 1/2,5.33,3.08,1.90,-,-,4.77,7.74,22,stood on Combine jumps
2022,OG,14,ANDREW STUEBER,Michigan,rSR,6065,325,"Darien, Conn. (Darien)",7/1/1999,22.83,71,"Large, barrel-chested blocker and checks boxes for length and hand size ... physical hands to snatch and dictate the action with his grip strength ... his punch is stiff and direct ... adequate body control in pass protection to stay square and work himself into position ... good head on his shoulders and rarely fooled by stunts/twists ... understands angles in the run game ... drives with his legs to create a surge and get defenders moving ... his coaches call him “one of the smartest football guys” in the program ... grew into a leadership role and filled whatever role the coaches asked of him ... played both tackle and guard in college and also took snaps at center during Senior Bowl practices.","Below average agility and his range can be exposed vs. edge speed or quick-twitch penetrators ... will try to get a head start and mistime the snap (four false start penalties in 2021) ... lacks the fluidity to easily recover when his feet are late matching his upper body ... inconsistent at the second level ... bad habit of allowing his hands to get wide, leaving him hugging and falling off blocks ... inconsistent pad level in the run game, negating his ability to leverage and sustain the point of attack ... suffered a torn ACL during preseason practices (August 2019) and missed the 2019 season.","A two-year starter at Michigan, Stueber played primarily at right tackle in former offensive coordinator Josh Gattis’ power-spread scheme. After sitting out the 2019 season with an ACL tear, he broke into the starting lineup and started all 20 games for the Wolverines the last two seasons, playing his best football as a senior. Stueber is assignment sound in pass protection with the hands and response time to combat what rushers throw at him. He is a functional run blocker and creates movement on down blocks, but he has some stiffness in his lower body and must improve his pad level to create movement. Overall, Stueber has NFL size, length and smarts, but he doesn’t have the athleticism to hold up at tackle and needs to improve his balance and sustain skills to earn a living at guard. He has the potential to be a dependable backup who can step in and hold his own if asked to pinch-hit as a starting guard.",5th Round,6065,325,34 1/8,10,79 7/8,-,-,-,24 1/2,8’5”,4.90,7.94,-,no runs or bench press – choice,6062,323,34 1/8,9 7/8,82 3/8,-,-,-,-,-,-,-,18,no runs – choice
